,MSA,Year,Population,Overdose Deaths,Unintentional Overdose Deaths,Alcohol-Induced Deaths
0,"Atlanta-Sandy Springs-Alpharetta, GA MSA",2007,1550291.0,155.0,26.0,57.0
1,"Atlanta-Sandy Springs-Alpharetta, GA MSA",2008,1574340.0,171.0,31.0,66.0
2,"Atlanta-Sandy Springs-Alpharetta, GA MSA",2009,1596169.0,133.0,40.0,40.0
3,"Atlanta-Sandy Springs-Alpharetta, GA MSA",2010,1612474.0,166.0,46.0,107.0
4,"Atlanta-Sandy Springs-Alpharetta, GA MSA",2011,1649492.0,156.0,61.0,96.0
5,"Atlanta-Sandy Springs-Alpharetta, GA MSA",2012,1684862.0,154.0,50.0,58.0
6,"Atlanta-Sandy Springs-Alpharetta, GA MSA",2013,1697633.0,167.0,49.0,81.0
7,"Atlanta-Sandy Springs-Alpharetta, GA MSA",2014,1718480.0,208.0,31.0,69.0
8,"Atlanta-Sandy Springs-Alpharetta, GA MSA",2015,1745433.0,236.0,89.0,72.0
9,"Atlanta-Sandy Springs-Alpharetta, GA MSA",2016,1763657.0,260.0,87.0,53.0
10,"Atlanta-Sandy Springs-Alpharetta, GA MSA",2017,1794676.0,260.0,215.0,147.0
11,"Atlanta-Sandy Springs-Alpharetta, GA MSA",2018,1806672.0,281.0,229.0,160.0
12,"Atlanta-Sandy Springs-Alpharetta, GA MSA",2019,1823234.0,271.0,225.0,151.0
13,"Atlanta-Sandy Springs-Alpharetta, GA MSA",2020,1839411.0,339.0,290.0,224.0
14,"Austin-Round Rock-Georgetown, TX MSA",2007,955399.0,111.0,10.0,20.0
15,"Austin-Round Rock-Georgetown, TX MSA",2008,980699.0,82.0,13.0,23.0
16,"Austin-Round Rock-Georgetown, TX MSA",2009,1006503.0,120.0,95.0,77.0
17,"Austin-Round Rock-Georgetown, TX MSA",2010,1024266.0,122.0,98.0,84.0
18,"Austin-Round Rock-Georgetown, TX MSA",2011,1063130.0,155.0,136.0,69.0
19,"Austin-Round Rock-Georgetown, TX MSA",2012,1095584.0,158.0,140.0,13.0
20,"Austin-Round Rock-Georgetown, TX MSA",2013,1120954.0,158.0,10.0,14.0
21,"Austin-Round Rock-Georgetown, TX MSA",2014,1151145.0,134.0,16.0,16.0
22,"Austin-Round Rock-Georgetown, TX MSA",2015,1176558.0,139.0,12.0,11.0
23,"Austin-Round Rock-Georgetown, TX MSA",2016,1199323.0,149.0,125.0,14.0
24,"Austin-Round Rock-Georgetown, TX MSA",2017,1226698.0,148.0,125.0,13.0
25,"Austin-Round Rock-Georgetown, TX MSA",2018,1248743.0,163.0,15.0,20.0
26,"Austin-Round Rock-Georgetown, TX MSA",2019,1273954.0,170.0,148.0,119.0
27,"Austin-Round Rock-Georgetown, TX MSA",2020,1300503.0,221.0,193.0,167.0
28,"Baltimore-Columbia-Towson, MD MSA",2007,1470222.0,309.0,21.0,82.0
29,"Baltimore-Columbia-Towson, MD MSA",2008,1470351.0,225.0,36.0,96.0
30,"Baltimore-Columbia-Towson, MD MSA",2009,1476670.0,278.0,35.0,78.0
31,"Baltimore-Columbia-Towson, MD MSA",2010,1484381.0,206.0,37.0,81.0
32,"Baltimore-Columbia-Towson, MD MSA",2011,1490726.0,196.0,42.0,77.0
33,"Baltimore-Columbia-Towson, MD MSA",2012,1502480.0,255.0,72.0,80.0
34,"Baltimore-Columbia-Towson, MD MSA",2013,1512185.0,264.0,70.0,78.0
35,"Baltimore-Columbia-Towson, MD MSA",2014,1527223.0,342.0,67.0,78.0
36,"Baltimore-Columbia-Towson, MD MSA",2015,1531384.0,406.0,122.0,88.0
37,"Baltimore-Columbia-Towson, MD MSA",2016,1522713.0,656.0,149.0,95.0
38,"Baltimore-Columbia-Towson, MD MSA",2017,1524404.0,732.0,190.0,104.0
39,"Baltimore-Columbia-Towson, MD MSA",2018,1511803.0,834.0,235.0,116.0
40,"Baltimore-Columbia-Towson, MD MSA",2019,1502817.0,899.0,224.0,141.0
41,"Baltimore-Columbia-Towson, MD MSA",2020,1495743.0,1076.0,394.0,162.0
42,"Birmingham-Hoover, AL MSA",2007,918002.0,147.0,36.0,56.0
43,"Birmingham-Hoover, AL MSA",2008,926267.0,150.0,102.0,70.0
44,"Birmingham-Hoover, AL MSA",2009,934158.0,178.0,42.0,49.0
45,"Birmingham-Hoover, AL MSA",2010,937144.0,119.0,41.0,53.0
46,"Birmingham-Hoover, AL MSA",2011,941265.0,167.0,41.0,40.0
47,"Birmingham-Hoover, AL MSA",2012,946187.0,166.0,101.0,23.0
48,"Birmingham-Hoover, AL MSA",2013,949967.0,186.0,45.0,24.0
49,"Birmingham-Hoover, AL MSA",2014,954145.0,297.0,62.0,41.0
50,"Birmingham-Hoover, AL MSA",2015,956154.0,253.0,43.0,25.0
51,"Birmingham-Hoover, AL MSA",2016,958162.0,331.0,53.0,45.0
52,"Birmingham-Hoover, AL MSA",2017,961001.0,341.0,240.0,74.0
53,"Birmingham-Hoover, AL MSA",2018,963697.0,322.0,215.0,107.0
54,"Birmingham-Hoover, AL MSA",2019,965787.0,330.0,234.0,100.0
55,"Birmingham-Hoover, AL MSA",2020,967509.0,443.0,329.0,119.0
56,"Boston-Cambridge-Newton, MA-NH MSA",2007,693368.0,152.0,208.0,44.0
57,"Boston-Cambridge-Newton, MA-NH MSA",2008,702201.0,112.0,223.0,90.0
58,"Boston-Cambridge-Newton, MA-NH MSA",2009,716214.0,147.0,42.0,18.0
59,"Boston-Cambridge-Newton, MA-NH MSA",2010,722023.0,103.0,31.0,24.0
60,"Boston-Cambridge-Newton, MA-NH MSA",2011,730932.0,129.0,309.0,129.0
61,"Boston-Cambridge-Newton, MA-NH MSA",2012,744426.0,114.0,313.0,176.0
62,"Boston-Cambridge-Newton, MA-NH MSA",2013,755503.0,147.0,162.0,55.0
63,"Boston-Cambridge-Newton, MA-NH MSA",2014,767254.0,146.0,177.0,59.0
64,"Boston-Cambridge-Newton, MA-NH MSA",2015,778121.0,201.0,132.0,52.0
65,"Boston-Cambridge-Newton, MA-NH MSA",2016,784230.0,284.0,162.0,84.0
66,"Boston-Cambridge-Newton, MA-NH MSA",2017,797939.0,293.0,174.0,47.0
67,"Boston-Cambridge-Newton, MA-NH MSA",2018,807252.0,257.0,186.0,102.0
68,"Boston-Cambridge-Newton, MA-NH MSA",2019,803907.0,261.0,237.0,75.0
69,"Boston-Cambridge-Newton, MA-NH MSA",2020,801582.0,329.0,302.0,86.0
70,"Buffalo-Cheektowaga, NY MSA",2007,1137678.0,107.0,95.0,78.0
71,"Buffalo-Cheektowaga, NY MSA",2008,1136364.0,124.0,28.0,67.0
72,"Buffalo-Cheektowaga, NY MSA",2009,1195309.0,117.0,274.0,92.0
73,"Buffalo-Cheektowaga, NY MSA",2010,1135509.0,114.0,23.0,109.0
74,"Buffalo-Cheektowaga, NY MSA",2011,1134039.0,140.0,211.0,80.0
75,"Buffalo-Cheektowaga, NY MSA",2012,1134210.0,130.0,269.0,130.0
76,"Buffalo-Cheektowaga, NY MSA",2013,1134115.0,181.0,228.0,85.0
77,"Buffalo-Cheektowaga, NY MSA",2014,1136360.0,191.0,187.0,99.0
78,"Buffalo-Cheektowaga, NY MSA",2015,1194167.0,356.0,285.0,93.0
79,"Buffalo-Cheektowaga, NY MSA",2016,1191286.0,377.0,354.0,121.0
80,"Buffalo-Cheektowaga, NY MSA",2017,1194812.0,356.0,384.0,271.0
81,"Buffalo-Cheektowaga, NY MSA",2018,1187663.0,305.0,498.0,348.0
82,"Buffalo-Cheektowaga, NY MSA",2019,1225122.0,272.0,216.0,144.0
83,"Buffalo-Cheektowaga, NY MSA",2020,1182631.0,397.0,356.0,180.0
84,"Charlotte-Concord-Gastonia, NC-SC MSA",2007,1234217.0,133.0,94.0,113.0
85,"Charlotte-Concord-Gastonia, NC-SC MSA",2008,1266743.0,148.0,90.0,130.0
86,"Charlotte-Concord-Gastonia, NC-SC MSA",2009,1290372.0,149.0,116.0,75.0
87,"Charlotte-Concord-Gastonia, NC-SC MSA",2010,1223792.0,134.0,65.0,84.0
88,"Charlotte-Concord-Gastonia, NC-SC MSA",2011,1327825.0,152.0,99.0,107.0
89,"Charlotte-Concord-Gastonia, NC-SC MSA",2012,1353867.0,176.0,206.0,57.0
90,"Charlotte-Concord-Gastonia, NC-SC MSA",2013,1377184.0,153.0,107.0,96.0
91,"Charlotte-Concord-Gastonia, NC-SC MSA",2014,1400571.0,189.0,128.0,93.0
92,"Charlotte-Concord-Gastonia, NC-SC MSA",2015,1344391.0,188.0,214.0,142.0
93,"Charlotte-Concord-Gastonia, NC-SC MSA",2016,1450112.0,282.0,316.0,144.0
94,"Charlotte-Concord-Gastonia, NC-SC MSA",2017,1476756.0,285.0,228.0,162.0
95,"Charlotte-Concord-Gastonia, NC-SC MSA",2018,1498162.0,291.0,234.0,184.0
96,"Charlotte-Concord-Gastonia, NC-SC MSA",2019,1518943.0,272.0,239.0,139.0
97,"Charlotte-Concord-Gastonia, NC-SC MSA",2020,1542645.0,347.0,314.0,182.0
98,"Chicago-Naperville-Elgin, IL-IN-WI MSA",2007,8219573.0,794.0,1458.0,545.0
99,"Chicago-Naperville-Elgin, IL-IN-WI MSA",2008,8252073.0,859.0,2020.0,729.0
100,"Chicago-Naperville-Elgin, IL-IN-WI MSA",2009,8289812.0,854.0,706.0,475.0
101,"Chicago-Naperville-Elgin, IL-IN-WI MSA",2010,8316650.0,814.0,616.0,440.0
102,"Chicago-Naperville-Elgin, IL-IN-WI MSA",2011,8357284.0,865.0,647.0,489.0
103,"Chicago-Naperville-Elgin, IL-IN-WI MSA",2012,8374608.0,1007.0,730.0,498.0
104,"Chicago-Naperville-Elgin, IL-IN-WI MSA",2013,8389726.0,966.0,712.0,459.0
105,"Chicago-Naperville-Elgin, IL-IN-WI MSA",2014,8404358.0,984.0,726.0,485.0
106,"Chicago-Naperville-Elgin, IL-IN-WI MSA",2015,8401315.0,1088.0,882.0,575.0
107,"Chicago-Naperville-Elgin, IL-IN-WI MSA",2016,8364162.0,1609.0,1396.0,701.0
108,"Chicago-Naperville-Elgin, IL-IN-WI MSA",2017,8381361.0,1829.0,1688.0,258.0
109,"Chicago-Naperville-Elgin, IL-IN-WI MSA",2018,8345010.0,1761.0,1609.0,673.0
110,"Chicago-Naperville-Elgin, IL-IN-WI MSA",2019,8300609.0,1884.0,1748.0,670.0
111,"Chicago-Naperville-Elgin, IL-IN-WI MSA",2020,8244982.0,2501.0,2353.0,924.0
112,"Cincinnati, OH-KY-IN MSA",2007,801815.0,118.0,547.0,133.0
113,"Cincinnati, OH-KY-IN MSA",2008,799840.0,133.0,804.0,171.0
114,"Cincinnati, OH-KY-IN MSA",2009,802149.0,91.0,19.0,12.0
115,"Cincinnati, OH-KY-IN MSA",2010,802374.0,132.0,14.0,10.0
116,"Cincinnati, OH-KY-IN MSA",2011,800362.0,185.0,19.0,14.0
117,"Cincinnati, OH-KY-IN MSA",2012,802038.0,186.0,29.0,12.0
118,"Cincinnati, OH-KY-IN MSA",2013,804520.0,246.0,20.0,13.0
119,"Cincinnati, OH-KY-IN MSA",2014,806631.0,264.0,10.0,10.0
120,"Cincinnati, OH-KY-IN MSA",2015,807598.0,363.0,40.0,15.0
121,"Cincinnati, OH-KY-IN MSA",2016,809099.0,342.0,43.0,19.0
122,"Cincinnati, OH-KY-IN MSA",2017,813822.0,468.0,10.0,80.0
123,"Cincinnati, OH-KY-IN MSA",2018,816684.0,386.0,15.0,81.0
124,"Cincinnati, OH-KY-IN MSA",2019,817473.0,382.0,353.0,61.0
125,"Cincinnati, OH-KY-IN MSA",2020,817985.0,388.0,366.0,102.0
126,"Cleveland-Elyria, OH MSA",2007,1301540.0,163.0,56.0,24.0
127,"Cleveland-Elyria, OH MSA",2008,1291479.0,183.0,55.0,29.0
128,"Cleveland-Elyria, OH MSA",2009,1285082.0,146.0,81.0,13.0
129,"Cleveland-Elyria, OH MSA",2010,1280122.0,191.0,76.0,27.0
130,"Cleveland-Elyria, OH MSA",2011,1270294.0,238.0,18.0,121.0
131,"Cleveland-Elyria, OH MSA",2012,1265111.0,252.0,23.0,141.0
132,"Cleveland-Elyria, OH MSA",2013,1263154.0,286.0,40.0,113.0
133,"Cleveland-Elyria, OH MSA",2014,1259828.0,290.0,46.0,15.0
134,"Cleveland-Elyria, OH MSA",2015,1255921.0,306.0,18.0,134.0
135,"Cleveland-Elyria, OH MSA",2016,1249352.0,576.0,14.0,137.0
136,"Cleveland-Elyria, OH MSA",2017,1248514.0,630.0,11.0,168.0
137,"Cleveland-Elyria, OH MSA",2018,1243857.0,478.0,16.0,142.0
138,"Cleveland-Elyria, OH MSA",2019,1235072.0,505.0,476.0,164.0
139,"Cleveland-Elyria, OH MSA",2020,1227883.0,511.0,489.0,197.0
140,"Columbus, OH MSA",2007,1127174.0,216.0,10.0,13.0
141,"Columbus, OH MSA",2008,1141183.0,205.0,19.0,13.0
142,"Columbus, OH MSA",2009,1155408.0,135.0,28.0,12.0
143,"Columbus, OH MSA",2010,1163414.0,242.0,10.0,10.0
144,"Columbus, OH MSA",2011,1178799.0,250.0,26.0,14.0
145,"Columbus, OH MSA",2012,1195537.0,242.0,29.0,18.0
146,"Columbus, OH MSA",2013,1212263.0,228.0,16.0,13.0
147,"Columbus, OH MSA",2014,1231393.0,238.0,34.0,11.0
148,"Columbus, OH MSA",2015,1251722.0,322.0,28.0,122.0
149,"Columbus, OH MSA",2016,1264518.0,356.0,54.0,12.0
150,"Columbus, OH MSA",2017,1291981.0,469.0,11.0,118.0
151,"Columbus, OH MSA",2018,1310300.0,533.0,12.0,123.0
152,"Columbus, OH MSA",2019,1316756.0,595.0,547.0,133.0
153,"Columbus, OH MSA",2020,1324624.0,873.0,804.0,171.0
154,"Dallas-Fort Worth-Arlington, TX MSA",2007,4713378.0,427.0,334.0,206.0
155,"Dallas-Fort Worth-Arlington, TX MSA",2008,4913795.0,378.0,362.0,279.0
156,"Dallas-Fort Worth-Arlington, TX MSA",2009,5012049.0,468.0,364.0,216.0
157,"Dallas-Fort Worth-Arlington, TX MSA",2010,5076441.0,443.0,336.0,284.0
158,"Dallas-Fort Worth-Arlington, TX MSA",2011,5196431.0,519.0,411.0,284.0
159,"Dallas-Fort Worth-Arlington, TX MSA",2012,5288350.0,551.0,418.0,295.0
160,"Dallas-Fort Worth-Arlington, TX MSA",2013,5368068.0,485.0,369.0,275.0
161,"Dallas-Fort Worth-Arlington, TX MSA",2014,5472403.0,641.0,532.0,321.0
162,"Dallas-Fort Worth-Arlington, TX MSA",2015,5576052.0,588.0,461.0,365.0
163,"Dallas-Fort Worth-Arlington, TX MSA",2016,5660882.0,675.0,550.0,447.0
164,"Dallas-Fort Worth-Arlington, TX MSA",2017,5775689.0,637.0,542.0,410.0
165,"Dallas-Fort Worth-Arlington, TX MSA",2018,5727849.0,622.0,513.0,473.0
166,"Dallas-Fort Worth-Arlington, TX MSA",2019,5915639.0,660.0,537.0,508.0
167,"Dallas-Fort Worth-Arlington, TX MSA",2020,5979502.0,917.0,791.0,646.0
168,"Denver-Aurora-Lakewood, CO MSA",2007,2601696.0,461.0,484.0,575.0
169,"Denver-Aurora-Lakewood, CO MSA",2008,2372957.0,447.0,426.0,467.0
170,"Denver-Aurora-Lakewood, CO MSA",2009,2694409.0,480.0,461.0,621.0
171,"Denver-Aurora-Lakewood, CO MSA",2010,2728339.0,389.0,472.0,591.0
172,"Denver-Aurora-Lakewood, CO MSA",2011,2787788.0,483.0,533.0,596.0
173,"Denver-Aurora-Lakewood, CO MSA",2012,2838300.0,461.0,544.0,695.0
174,"Denver-Aurora-Lakewood, CO MSA",2013,2953038.0,493.0,510.0,473.0
175,"Denver-Aurora-Lakewood, CO MSA",2014,2949875.0,501.0,504.0,427.0
176,"Denver-Aurora-Lakewood, CO MSA",2015,3012261.0,462.0,490.0,623.0
177,"Denver-Aurora-Lakewood, CO MSA",2016,3117539.0,509.0,716.0,766.0
178,"Denver-Aurora-Lakewood, CO MSA",2017,3083266.0,531.0,426.0,385.0
179,"Denver-Aurora-Lakewood, CO MSA",2018,3197929.0,556.0,473.0,420.0
180,"Denver-Aurora-Lakewood, CO MSA",2019,3231918.0,569.0,487.0,684.0
181,"Denver-Aurora-Lakewood, CO MSA",2020,3256313.0,859.0,726.0,858.0
182,"Detroit-Warren-Dearborn, MI MSA",2007,3936557.0,734.0,80.0,49.0
183,"Detroit-Warren-Dearborn, MI MSA",2008,3902460.0,786.0,64.0,33.0
184,"Detroit-Warren-Dearborn, MI MSA",2009,3877861.0,878.0,66.0,35.0
185,"Detroit-Warren-Dearborn, MI MSA",2010,3863924.0,825.0,88.0,46.0
186,"Detroit-Warren-Dearborn, MI MSA",2011,3854386.0,796.0,61.0,70.0
187,"Detroit-Warren-Dearborn, MI MSA",2012,3860405.0,786.0,60.0,40.0
188,"Detroit-Warren-Dearborn, MI MSA",2013,3861682.0,903.0,87.0,39.0
189,"Detroit-Warren-Dearborn, MI MSA",2014,3862784.0,1016.0,82.0,74.0
190,"Detroit-Warren-Dearborn, MI MSA",2015,3866479.0,1157.0,249.0,124.0
191,"Detroit-Warren-Dearborn, MI MSA",2016,3861066.0,1370.0,345.0,160.0
192,"Detroit-Warren-Dearborn, MI MSA",2017,3875827.0,1578.0,455.0,219.0
193,"Detroit-Warren-Dearborn, MI MSA",2018,3887853.0,1467.0,427.0,158.0
194,"Detroit-Warren-Dearborn, MI MSA",2019,3880899.0,1300.0,972.0,418.0
195,"Detroit-Warren-Dearborn, MI MSA",2020,3864873.0,1445.0,1091.0,493.0
196,"Fresno, CA MSA",2007,1042000.0,117.0,261.0,151.0
197,"Fresno, CA MSA",2008,1057989.0,109.0,281.0,164.0
198,"Fresno, CA MSA",2009,921478.0,120.0,93.0,116.0
199,"Fresno, CA MSA",2010,1081315.0,131.0,455.0,179.0
200,"Fresno, CA MSA",2011,1095829.0,121.0,129.0,124.0
201,"Fresno, CA MSA",2012,1100113.0,111.0,162.0,131.0
202,"Fresno, CA MSA",2013,1107661.0,120.0,192.0,154.0
203,"Fresno, CA MSA",2014,1120522.0,159.0,268.0,189.0
204,"Fresno, CA MSA",2015,1129859.0,181.0,38.0,43.0
205,"Fresno, CA MSA",2016,1134612.0,172.0,921.0,1304.0
206,"Fresno, CA MSA",2017,1146145.0,156.0,1194.0,1293.0
207,"Fresno, CA MSA",2018,1152072.0,140.0,1965.0,1533.0
208,"Fresno, CA MSA",2019,1156428.0,187.0,147.0,156.0
209,"Fresno, CA MSA",2020,1158679.0,220.0,180.0,183.0
210,"Houston-The Woodlands-Sugar Land, TX MSA",2007,927980.0,93.0,77.0,31.0
211,"Houston-The Woodlands-Sugar Land, TX MSA",2008,972775.0,79.0,25.0,27.0
212,"Houston-The Woodlands-Sugar Land, TX MSA",2009,1014966.0,89.0,79.0,30.0
213,"Houston-The Woodlands-Sugar Land, TX MSA",2010,1041121.0,76.0,54.0,31.0
214,"Houston-The Woodlands-Sugar Land, TX MSA",2011,1078687.0,88.0,62.0,38.0
215,"Houston-The Woodlands-Sugar Land, TX MSA",2012,1112340.0,69.0,49.0,37.0
216,"Houston-The Woodlands-Sugar Land, TX MSA",2013,1151502.0,72.0,56.0,55.0
217,"Houston-The Woodlands-Sugar Land, TX MSA",2014,1204292.0,83.0,62.0,55.0
218,"Houston-The Woodlands-Sugar Land, TX MSA",2015,1253646.0,96.0,71.0,63.0
219,"Houston-The Woodlands-Sugar Land, TX MSA",2016,1297440.0,121.0,96.0,65.0
220,"Houston-The Woodlands-Sugar Land, TX MSA",2017,1335762.0,144.0,129.0,64.0
221,"Houston-The Woodlands-Sugar Land, TX MSA",2018,1378783.0,128.0,102.0,70.0
222,"Houston-The Woodlands-Sugar Land, TX MSA",2019,1419079.0,149.0,121.0,71.0
223,"Houston-The Woodlands-Sugar Land, TX MSA",2020,1466057.0,192.0,170.0,91.0
224,"Indianapolis-Carmel-Anderson, IN MSA",2007,883591.0,131.0,59.0,49.0
225,"Indianapolis-Carmel-Anderson, IN MSA",2008,889504.0,153.0,12.0,17.0
226,"Indianapolis-Carmel-Anderson, IN MSA",2009,898394.0,145.0,152.0,37.0
227,"Indianapolis-Carmel-Anderson, IN MSA",2010,903393.0,163.0,124.0,52.0
228,"Indianapolis-Carmel-Anderson, IN MSA",2011,911296.0,164.0,139.0,61.0
229,"Indianapolis-Carmel-Anderson, IN MSA",2012,918977.0,195.0,160.0,72.0
230,"Indianapolis-Carmel-Anderson, IN MSA",2013,928281.0,212.0,28.0,12.0
231,"Indianapolis-Carmel-Anderson, IN MSA",2014,934243.0,250.0,47.0,27.0
232,"Indianapolis-Carmel-Anderson, IN MSA",2015,939020.0,257.0,46.0,25.0
233,"Indianapolis-Carmel-Anderson, IN MSA",2016,941229.0,326.0,34.0,27.0
234,"Indianapolis-Carmel-Anderson, IN MSA",2017,950082.0,374.0,51.0,24.0
