,MSA,Year,Population,Overdose Deaths,Unintentional Overdose Deaths,Alcohol-Induced Deaths
460,"Pittsburgh, PA MSA",2019,1216045.0,528.0,507.0,107.0
461,"Pittsburgh, PA MSA",2020,1211358.0,632.0,613.0,121.0
462,"Portland-Vancouver-Hillsboro, OR-WA MSA",2007,1615461.0,289.0,107.0,137.0
463,"Portland-Vancouver-Hillsboro, OR-WA MSA",2008,1644086.0,263.0,130.0,151.0
464,"Portland-Vancouver-Hillsboro, OR-WA MSA",2009,1673656.0,256.0,70.0,79.0
465,"Portland-Vancouver-Hillsboro, OR-WA MSA",2010,1690407.0,244.0,53.0,76.0
466,"Portland-Vancouver-Hillsboro, OR-WA MSA",2011,1721859.0,281.0,66.0,81.0
467,"Portland-Vancouver-Hillsboro, OR-WA MSA",2012,1745215.0,282.0,52.0,69.0
468,"Portland-Vancouver-Hillsboro, OR-WA MSA",2013,1764948.0,270.0,90.0,95.0
469,"Portland-Vancouver-Hillsboro, OR-WA MSA",2014,1790718.0,258.0,97.0,105.0
470,"Portland-Vancouver-Hillsboro, OR-WA MSA",2015,1824115.0,271.0,67.0,127.0
471,"Portland-Vancouver-Hillsboro, OR-WA MSA",2016,1849563.0,292.0,97.0,159.0
472,"Portland-Vancouver-Hillsboro, OR-WA MSA",2017,1871155.0,323.0,183.0,238.0
473,"Portland-Vancouver-Hillsboro, OR-WA MSA",2018,1891432.0,318.0,205.0,293.0
474,"Portland-Vancouver-Hillsboro, OR-WA MSA",2019,1902688.0,360.0,276.0,371.0
475,"Portland-Vancouver-Hillsboro, OR-WA MSA",2020,1916016.0,490.0,361.0,424.0
476,"Providence-Warwick, RI-MA MSA",2007,923520.0,131.0,93.0,43.0
477,"Providence-Warwick, RI-MA MSA",2008,1004335.0,185.0,93.0,69.0
478,"Providence-Warwick, RI-MA MSA",2009,920675.0,154.0,116.0,58.0
479,"Providence-Warwick, RI-MA MSA",2010,1002692.0,174.0,117.0,83.0
480,"Providence-Warwick, RI-MA MSA",2011,918807.0,181.0,89.0,64.0
481,"Providence-Warwick, RI-MA MSA",2012,919112.0,188.0,118.0,74.0
482,"Providence-Warwick, RI-MA MSA",2013,1002291.0,243.0,139.0,93.0
483,"Providence-Warwick, RI-MA MSA",2014,923755.0,231.0,152.0,71.0
484,"Providence-Warwick, RI-MA MSA",2015,924791.0,300.0,96.0,73.0
485,"Providence-Warwick, RI-MA MSA",2016,1007359.0,318.0,196.0,99.0
486,"Providence-Warwick, RI-MA MSA",2017,1010727.0,312.0,255.0,144.0
487,"Providence-Warwick, RI-MA MSA",2018,1008666.0,315.0,398.0,187.0
488,"Providence-Warwick, RI-MA MSA",2019,1010882.0,301.0,270.0,137.0
489,"Providence-Warwick, RI-MA MSA",2020,1008775.0,397.0,368.0,196.0
490,"Raleigh-Cary, NC MSA",2007,1201596.0,99.0,120.0,82.0
491,"Raleigh-Cary, NC MSA",2008,1115848.0,100.0,163.0,40.0
492,"Raleigh-Cary, NC MSA",2009,1281349.0,85.0,48.0,36.0
493,"Raleigh-Cary, NC MSA",2010,1168580.0,88.0,31.0,30.0
494,"Raleigh-Cary, NC MSA",2011,1338927.0,104.0,52.0,40.0
495,"Raleigh-Cary, NC MSA",2012,1369733.0,97.0,62.0,48.0
496,"Raleigh-Cary, NC MSA",2013,1402774.0,112.0,132.0,49.0
497,"Raleigh-Cary, NC MSA",2014,1293151.0,114.0,119.0,33.0
498,"Raleigh-Cary, NC MSA",2015,1466504.0,127.0,80.0,56.0
499,"Raleigh-Cary, NC MSA",2016,1494799.0,185.0,97.0,59.0
500,"Raleigh-Cary, NC MSA",2017,1528789.0,217.0,90.0,98.0
501,"Raleigh-Cary, NC MSA",2018,1555071.0,217.0,86.0,120.0
502,"Raleigh-Cary, NC MSA",2019,1581725.0,189.0,156.0,116.0
503,"Raleigh-Cary, NC MSA",2020,1608654.0,303.0,281.0,133.0
504,"Richmond, VA MSA",2007,801245.0,81.0,60.0,42.0
505,"Richmond, VA MSA",2008,812289.0,89.0,58.0,51.0
506,"Richmond, VA MSA",2009,821537.0,76.0,56.0,30.0
507,"Richmond, VA MSA",2010,827385.0,68.0,48.0,32.0
508,"Richmond, VA MSA",2011,836255.0,101.0,63.0,50.0
509,"Richmond, VA MSA",2012,949765.0,87.0,68.0,77.0
510,"Richmond, VA MSA",2013,961800.0,105.0,76.0,25.0
511,"Richmond, VA MSA",2014,974194.0,133.0,91.0,64.0
512,"Richmond, VA MSA",2015,984358.0,146.0,112.0,60.0
513,"Richmond, VA MSA",2016,993072.0,221.0,154.0,77.0
514,"Richmond, VA MSA",2017,1004452.0,251.0,184.0,96.0
515,"Richmond, VA MSA",2018,1013839.0,262.0,200.0,80.0
516,"Richmond, VA MSA",2019,1021822.0,288.0,265.0,83.0
517,"Richmond, VA MSA",2020,1062647.0,400.0,377.0,113.0
518,"Riverside-San Bernardino-Ontario, CA MSA",2007,4067344.0,403.0,407.0,424.0
519,"Riverside-San Bernardino-Ontario, CA MSA",2008,4113447.0,467.0,691.0,457.0
520,"Riverside-San Bernardino-Ontario, CA MSA",2009,4160685.0,475.0,68.0,79.0
521,"Riverside-San Bernardino-Ontario, CA MSA",2010,4224851.0,456.0,81.0,91.0
522,"Riverside-San Bernardino-Ontario, CA MSA",2011,4304997.0,455.0,379.0,30.0
523,"Riverside-San Bernardino-Ontario, CA MSA",2012,4350096.0,506.0,415.0,389.0
524,"Riverside-San Bernardino-Ontario, CA MSA",2013,4380878.0,559.0,762.0,731.0
525,"Riverside-San Bernardino-Ontario, CA MSA",2014,4441890.0,588.0,1255.0,807.0
526,"Riverside-San Bernardino-Ontario, CA MSA",2015,4489159.0,586.0,345.0,301.0
527,"Riverside-San Bernardino-Ontario, CA MSA",2016,4527837.0,598.0,328.0,317.0
528,"Riverside-San Bernardino-Ontario, CA MSA",2017,4580670.0,711.0,527.0,336.0
529,"Riverside-San Bernardino-Ontario, CA MSA",2018,4622361.0,785.0,639.0,362.0
530,"Riverside-San Bernardino-Ontario, CA MSA",2019,4650631.0,778.0,640.0,714.0
531,"Riverside-San Bernardino-Ontario, CA MSA",2020,4678371.0,1298.0,1141.0,884.0
532,"Sacramento-Roseville-Folsom, CA MSA",2007,1381161.0,219.0,14.0,14.0
533,"Sacramento-Roseville-Folsom, CA MSA",2008,1394438.0,268.0,18.0,24.0
534,"Sacramento-Roseville-Folsom, CA MSA",2009,1408601.0,252.0,15.0,20.0
535,"Sacramento-Roseville-Folsom, CA MSA",2010,1418788.0,228.0,34.0,37.0
536,"Sacramento-Roseville-Folsom, CA MSA",2011,1436105.0,232.0,346.0,368.0
537,"Sacramento-Roseville-Folsom, CA MSA",2012,1450121.0,228.0,599.0,389.0
538,"Sacramento-Roseville-Folsom, CA MSA",2013,1462131.0,259.0,54.0,65.0
539,"Sacramento-Roseville-Folsom, CA MSA",2014,1482026.0,268.0,63.0,67.0
540,"Sacramento-Roseville-Folsom, CA MSA",2015,1501335.0,298.0,364.0,10.0
541,"Sacramento-Roseville-Folsom, CA MSA",2016,1514460.0,252.0,381.0,352.0
542,"Sacramento-Roseville-Folsom, CA MSA",2017,1530615.0,258.0,416.0,363.0
543,"Sacramento-Roseville-Folsom, CA MSA",2018,1540975.0,289.0,656.0,418.0
544,"Sacramento-Roseville-Folsom, CA MSA",2019,1552058.0,367.0,291.0,236.0
545,"Sacramento-Roseville-Folsom, CA MSA",2020,1559146.0,323.0,265.0,250.0
546,"Salt Lake City, UT MSA",2007,1453293.0,313.0,76.0,61.0
547,"Salt Lake City, UT MSA",2008,1487168.0,275.0,106.0,86.0
548,"Salt Lake City, UT MSA",2009,1521596.0,309.0,109.0,88.0
549,"Salt Lake City, UT MSA",2010,1546219.0,257.0,106.0,94.0
550,"Salt Lake City, UT MSA",2011,1579484.0,315.0,161.0,92.0
551,"Salt Lake City, UT MSA",2012,1604346.0,351.0,192.0,117.0
552,"Salt Lake City, UT MSA",2013,1631612.0,354.0,171.0,103.0
553,"Salt Lake City, UT MSA",2014,1652716.0,363.0,194.0,118.0
554,"Salt Lake City, UT MSA",2015,1682519.0,394.0,191.0,139.0
555,"Salt Lake City, UT MSA",2016,1713653.0,399.0,204.0,159.0
556,"Salt Lake City, UT MSA",2017,1742074.0,407.0,277.0,146.0
557,"Salt Lake City, UT MSA",2018,1774846.0,385.0,302.0,160.0
558,"Salt Lake City, UT MSA",2019,1796672.0,358.0,275.0,157.0
559,"Salt Lake City, UT MSA",2020,1816576.0,372.0,290.0,224.0
560,"San Antonio-New Braunfels, TX MSA",2007,1615210.0,127.0,11.0,12.0
561,"San Antonio-New Braunfels, TX MSA",2008,1651709.0,165.0,22.0,11.0
562,"San Antonio-New Braunfels, TX MSA",2009,1685628.0,205.0,20.0,23.0
563,"San Antonio-New Braunfels, TX MSA",2010,1714773.0,199.0,26.0,14.0
564,"San Antonio-New Braunfels, TX MSA",2011,1756153.0,267.0,19.0,16.0
565,"San Antonio-New Braunfels, TX MSA",2012,1785704.0,206.0,15.0,14.0
566,"San Antonio-New Braunfels, TX MSA",2013,1817610.0,188.0,23.0,16.0
567,"San Antonio-New Braunfels, TX MSA",2014,1855866.0,198.0,17.0,15.0
568,"San Antonio-New Braunfels, TX MSA",2015,1897753.0,205.0,28.0,21.0
569,"San Antonio-New Braunfels, TX MSA",2016,1928680.0,230.0,39.0,35.0
570,"San Antonio-New Braunfels, TX MSA",2017,1958578.0,220.0,24.0,28.0
571,"San Antonio-New Braunfels, TX MSA",2018,1986049.0,237.0,37.0,59.0
572,"San Antonio-New Braunfels, TX MSA",2019,2003554.0,283.0,240.0,239.0
573,"San Antonio-New Braunfels, TX MSA",2020,2026823.0,301.0,269.0,263.0
574,"San Diego-Chula Vista-Carlsbad, CA MSA",2007,2975742.0,376.0,54.0,65.0
575,"San Diego-Chula Vista-Carlsbad, CA MSA",2008,3022116.0,378.0,63.0,67.0
576,"San Diego-Chula Vista-Carlsbad, CA MSA",2009,3061203.0,377.0,364.0,10.0
577,"San Diego-Chula Vista-Carlsbad, CA MSA",2010,3095313.0,383.0,381.0,352.0
578,"San Diego-Chula Vista-Carlsbad, CA MSA",2011,3140069.0,428.0,416.0,363.0
579,"San Diego-Chula Vista-Carlsbad, CA MSA",2012,3177063.0,434.0,656.0,418.0
580,"San Diego-Chula Vista-Carlsbad, CA MSA",2013,3211252.0,452.0,291.0,236.0
581,"San Diego-Chula Vista-Carlsbad, CA MSA",2014,3263431.0,441.0,265.0,250.0
582,"San Diego-Chula Vista-Carlsbad, CA MSA",2015,3299521.0,450.0,163.0,326.0
583,"San Diego-Chula Vista-Carlsbad, CA MSA",2016,3317749.0,462.0,258.0,10.0
584,"San Diego-Chula Vista-Carlsbad, CA MSA",2017,3337685.0,507.0,224.0,351.0
585,"San Diego-Chula Vista-Carlsbad, CA MSA",2018,3343364.0,521.0,485.0,466.0
586,"San Diego-Chula Vista-Carlsbad, CA MSA",2019,3338330.0,545.0,442.0,460.0
587,"San Diego-Chula Vista-Carlsbad, CA MSA",2020,3332427.0,809.0,708.0,520.0
588,"San Francisco-Oakland-Berkeley, CA MSA",2007,2613219.0,465.0,799.0,328.0
589,"San Francisco-Oakland-Berkeley, CA MSA",2008,2650851.0,404.0,894.0,665.0
590,"San Francisco-Oakland-Berkeley, CA MSA",2009,2686603.0,389.0,596.0,513.0
591,"San Francisco-Oakland-Berkeley, CA MSA",2010,2704399.0,368.0,821.0,595.0
592,"San Francisco-Oakland-Berkeley, CA MSA",2011,2735820.0,424.0,516.0,441.0
593,"San Francisco-Oakland-Berkeley, CA MSA",2012,2775697.0,339.0,476.0,459.0
594,"San Francisco-Oakland-Berkeley, CA MSA",2013,2815024.0,370.0,362.0,564.0
595,"San Francisco-Oakland-Berkeley, CA MSA",2014,2865807.0,370.0,1332.0,1526.0
596,"San Francisco-Oakland-Berkeley, CA MSA",2015,2906708.0,451.0,1605.0,1801.0
597,"San Francisco-Oakland-Berkeley, CA MSA",2016,2921408.0,422.0,2596.0,2186.0
598,"San Francisco-Oakland-Berkeley, CA MSA",2017,2949481.0,385.0,648.0,709.0
599,"San Francisco-Oakland-Berkeley, CA MSA",2018,2949141.0,497.0,989.0,762.0
600,"San Francisco-Oakland-Berkeley, CA MSA",2019,2949448.0,748.0,659.0,289.0
601,"San Francisco-Oakland-Berkeley, CA MSA",2020,2922226.0,983.0,919.0,357.0
602,"San Jose-Sunnyvale-Santa Clara, CA MSA",2007,1712026.0,156.0,442.0,460.0
603,"San Jose-Sunnyvale-Santa Clara, CA MSA",2008,1740964.0,122.0,708.0,520.0
604,"San Jose-Sunnyvale-Santa Clara, CA MSA",2009,1765137.0,117.0,380.0,79.0
605,"San Jose-Sunnyvale-Santa Clara, CA MSA",2010,1781642.0,138.0,536.0,109.0
606,"San Jose-Sunnyvale-Santa Clara, CA MSA",2011,1809378.0,149.0,119.0,96.0
607,"San Jose-Sunnyvale-Santa Clara, CA MSA",2012,1837504.0,156.0,151.0,125.0
608,"San Jose-Sunnyvale-Santa Clara, CA MSA",2013,1862041.0,158.0,47.0,51.0
609,"San Jose-Sunnyvale-Santa Clara, CA MSA",2014,1894605.0,144.0,78.0,67.0
610,"San Jose-Sunnyvale-Santa Clara, CA MSA",2015,1918044.0,146.0,92.0,66.0
611,"San Jose-Sunnyvale-Santa Clara, CA MSA",2016,1919402.0,162.0,112.0,59.0
612,"San Jose-Sunnyvale-Santa Clara, CA MSA",2017,1938153.0,173.0,74.0,91.0
613,"San Jose-Sunnyvale-Santa Clara, CA MSA",2018,1937570.0,178.0,83.0,86.0
614,"San Jose-Sunnyvale-Santa Clara, CA MSA",2019,1927852.0,224.0,183.0,187.0
615,"San Jose-Sunnyvale-Santa Clara, CA MSA",2020,1907105.0,308.0,271.0,211.0
616,"Seattle-Tacoma-Bellevue, WA MSA",2007,3304467.0,509.0,131.0,167.0
617,"Seattle-Tacoma-Bellevue, WA MSA",2008,3355042.0,514.0,154.0,138.0
618,"Seattle-Tacoma-Bellevue, WA MSA",2009,3414797.0,512.0,247.0,176.0
619,"Seattle-Tacoma-Bellevue, WA MSA",2010,3439809.0,493.0,226.0,209.0
620,"Seattle-Tacoma-Bellevue, WA MSA",2011,3500026.0,569.0,151.0,197.0
621,"Seattle-Tacoma-Bellevue, WA MSA",2012,3552157.0,526.0,260.0,207.0
622,"Seattle-Tacoma-Bellevue, WA MSA",2013,3610105.0,556.0,126.0,87.0
623,"Seattle-Tacoma-Bellevue, WA MSA",2014,3671478.0,588.0,49.0,68.0
624,"Seattle-Tacoma-Bellevue, WA MSA",2015,3733580.0,607.0,364.0,177.0
625,"Seattle-Tacoma-Bellevue, WA MSA",2016,3798902.0,621.0,164.0,168.0
626,"Seattle-Tacoma-Bellevue, WA MSA",2017,3867046.0,684.0,547.0,519.0
627,"Seattle-Tacoma-Bellevue, WA MSA",2018,3939363.0,751.0,290.0,290.0
628,"Seattle-Tacoma-Bellevue, WA MSA",2019,3979845.0,808.0,655.0,598.0
629,"Seattle-Tacoma-Bellevue, WA MSA",2020,4018598.0,1024.0,892.0,693.0
630,"St. Louis, MO-IL MSA",2007,1317348.0,150.0,93.0,58.0
631,"St. Louis, MO-IL MSA",2008,1316286.0,168.0,104.0,55.0
632,"St. Louis, MO-IL MSA",2009,1317460.0,199.0,109.0,63.0
633,"St. Louis, MO-IL MSA",2010,1318248.0,229.0,131.0,65.0
634,"St. Louis, MO-IL MSA",2011,1316761.0,255.0,168.0,61.0
635,"St. Louis, MO-IL MSA",2012,1318610.0,222.0,176.0,72.0
636,"St. Louis, MO-IL MSA",2013,1319860.0,275.0,176.0,86.0
637,"St. Louis, MO-IL MSA",2014,1319295.0,312.0,209.0,85.0
638,"St. Louis, MO-IL MSA",2015,1319047.0,276.0,109.0,127.0
639,"St. Louis, MO-IL MSA",2016,1309985.0,471.0,214.0,118.0
640,"St. Louis, MO-IL MSA",2017,1305352.0,511.0,232.0,121.0
641,"St. Louis, MO-IL MSA",2018,1299783.0,589.0,241.0,124.0
642,"St. Louis, MO-IL MSA",2019,1294781.0,591.0,543.0,127.0
643,"St. Louis, MO-IL MSA",2020,1291665.0,711.0,676.0,169.0
644,"Tampa-St Petersburg-Clearwater, FL MSA",2007,2103310.0,505.0,82.0,55.0
645,"Tampa-St Petersburg-Clearwater, FL MSA",2008,2113231.0,527.0,92.0,62.0
646,"Tampa-St Petersburg-Clearwater, FL MSA",2009,2129380.0,544.0,48.0,120.0
647,"Tampa-St Petersburg-Clearwater, FL MSA",2010,2145768.0,564.0,37.0,132.0
648,"Tampa-St Petersburg-Clearwater, FL MSA",2011,2185173.0,503.0,285.0,113.0
649,"Tampa-St Petersburg-Clearwater, FL MSA",2012,2199065.0,434.0,350.0,121.0
650,"Tampa-St Petersburg-Clearwater, FL MSA",2013,2220626.0,366.0,97.0,50.0
651,"Tampa-St Petersburg-Clearwater, FL MSA",2014,2254396.0,370.0,127.0,77.0
652,"Tampa-St Petersburg-Clearwater, FL MSA",2015,2298877.0,388.0,461.0,207.0
653,"Tampa-St Petersburg-Clearwater, FL MSA",2016,2336968.0,523.0,612.0,243.0
654,"Tampa-St Petersburg-Clearwater, FL MSA",2017,2379203.0,521.0,201.0,95.0
655,"Tampa-St Petersburg-Clearwater, FL MSA",2018,2412168.0,598.0,318.0,123.0
656,"Tampa-St Petersburg-Clearwater, FL MSA",2019,2446964.0,717.0,625.0,297.0
657,"Tampa-St Petersburg-Clearwater, FL MSA",2020,2474759.0,1022.0,934.0,426.0
658,"Virginia Beach-Norfolk-Newport News, VA-NC MSA",2007,1075958.0,125.0,59.0,39.0
659,"Virginia Beach-Norfolk-Newport News, VA-NC MSA",2008,1074277.0,82.0,84.0,56.0
660,"Virginia Beach-Norfolk-Newport News, VA-NC MSA",2009,1077905.0,102.0,89.0,51.0
661,"Virginia Beach-Norfolk-Newport News, VA-NC MSA",2010,1221161.0,85.0,120.0,58.0
662,"Virginia Beach-Norfolk-Newport News, VA-NC MSA",2011,1226397.0,116.0,64.0,66.0
663,"Virginia Beach-Norfolk-Newport News, VA-NC MSA",2012,1238782.0,114.0,60.0,82.0
664,"Virginia Beach-Norfolk-Newport News, VA-NC MSA",2013,1243908.0,171.0,139.0,61.0
665,"Virginia Beach-Norfolk-Newport News, VA-NC MSA",2014,1336429.0,166.0,111.0,80.0
666,"Virginia Beach-Norfolk-Newport News, VA-NC MSA",2015,1341567.0,211.0,166.0,114.0
667,"Virginia Beach-Norfolk-Newport News, VA-NC MSA",2016,1252892.0,298.0,253.0,108.0
668,"Virginia Beach-Norfolk-Newport News, VA-NC MSA",2017,1339829.0,261.0,229.0,134.0
669,"Virginia Beach-Norfolk-Newport News, VA-NC MSA",2018,1445822.0,275.0,243.0,125.0
670,"Virginia Beach-Norfolk-Newport News, VA-NC MSA",2019,1411674.0,272.0,239.0,165.0
671,"Virginia Beach-Norfolk-Newport News, VA-NC MSA",2020,1418683.0,439.0,379.0,181.0
672,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",2007,2440610.0,198.0,49.0,129.0
673,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",2008,2328444.0,175.0,64.0,129.0
674,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",2009,2487555.0,157.0,73.0,116.0
675,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",2010,2397762.0,158.0,102.0,134.0
676,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",2011,2823404.0,214.0,134.0,157.0
677,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",2012,2885451.0,226.0,108.0,153.0
678,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",2013,2939430.0,251.0,149.0,150.0
679,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",2014,2983058.0,277.0,192.0,139.0
680,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",2015,3024487.0,302.0,245.0,175.0
681,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",2016,3046837.0,527.0,452.0,182.0
682,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",2017,3098508.0,577.0,505.0,185.0
683,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",2018,2965632.0,471.0,397.0,185.0
684,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",2019,3174509.0,569.0,497.0,198.0
685,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",2020,3201694.0,776.0,694.0,244.0
