,MSA,Year,Population (persons) 3/,Total employment (number of jobs),Average earnings per job (dollars),Average wages and salaries (dollars),Per capita net earnings 4/ (dollars)
591,"Richmond, VA MSA",2022,1143892.0,828413.0,66746.75,66875.25,50233.875
592,"Riverside-San Bernardino-Ontario, CA MSA",2007,4067344.0,1799648.0,43887.0,39221.0,21489.0
593,"Riverside-San Bernardino-Ontario, CA MSA",2008,4113447.0,1747924.0,43807.5,40165.5,20587.5
594,"Riverside-San Bernardino-Ontario, CA MSA",2009,4160685.0,1666033.0,43331.0,40425.0,19276.5
595,"Riverside-San Bernardino-Ontario, CA MSA",2010,4240739.0,1638750.0,45138.5,40961.0,19266.0
596,"Riverside-San Bernardino-Ontario, CA MSA",2011,4286191.0,1678301.0,46595.5,41673.5,20387.5
597,"Riverside-San Bernardino-Ontario, CA MSA",2012,4318845.0,1727717.0,46415.0,41778.0,20754.0
598,"Riverside-San Bernardino-Ontario, CA MSA",2013,4346320.0,1788249.0,46728.5,41909.0,21165.0
599,"Riverside-San Bernardino-Ontario, CA MSA",2014,4384684.0,1868328.0,47286.5,42674.5,21939.5
600,"Riverside-San Bernardino-Ontario, CA MSA",2015,4422911.0,1944599.0,49085.0,44793.5,23062.5
601,"Riverside-San Bernardino-Ontario, CA MSA",2016,4465521.0,1993220.0,50077.5,45373.0,24091.5
602,"Riverside-San Bernardino-Ontario, CA MSA",2017,4511846.0,2052304.0,51177.5,46531.0,25005.5
603,"Riverside-San Bernardino-Ontario, CA MSA",2018,4550170.0,2121923.0,52090.0,47647.5,26062.5
604,"Riverside-San Bernardino-Ontario, CA MSA",2019,4576562.0,2169139.0,54129.0,49541.5,27661.5
605,"Riverside-San Bernardino-Ontario, CA MSA",2020,4606086.0,2150070.0,56713.0,53702.5,28488.0
606,"Riverside-San Bernardino-Ontario, CA MSA",2021,4646060.0,2261277.0,59636.0,56711.5,30493.5
607,"Riverside-San Bernardino-Ontario, CA MSA",2022,4667558.0,2393652.0,60142.5,58582.5,32829.0
608,"Sacramento-Roseville-Folsom, CA MSA",2007,1381161.0,818253.0,56601.0,49686.0,26670.0
609,"Sacramento-Roseville-Folsom, CA MSA",2008,1394438.0,801069.0,58286.0,51750.0,26298.0
610,"Sacramento-Roseville-Folsom, CA MSA",2009,1408601.0,771560.0,58126.0,52070.0,24824.0
611,"Sacramento-Roseville-Folsom, CA MSA",2010,1421965.0,752642.0,59508.0,52929.0,24608.0
612,"Sacramento-Roseville-Folsom, CA MSA",2011,1436671.0,752782.0,61889.0,54947.0,25553.0
613,"Sacramento-Roseville-Folsom, CA MSA",2012,1450201.0,780748.0,61721.0,55160.0,26209.0
614,"Sacramento-Roseville-Folsom, CA MSA",2013,1465129.0,800686.0,62777.0,55251.0,26872.0
615,"Sacramento-Roseville-Folsom, CA MSA",2014,1485221.0,820003.0,64074.0,56310.0,27862.0
616,"Sacramento-Roseville-Folsom, CA MSA",2015,1506558.0,841529.0,66042.0,58127.0,29389.0
617,"Sacramento-Roseville-Folsom, CA MSA",2016,1527104.0,857316.0,66616.0,58531.0,30033.0
618,"Sacramento-Roseville-Folsom, CA MSA",2017,1546422.0,873464.0,68410.0,60413.0,31260.0
619,"Sacramento-Roseville-Folsom, CA MSA",2018,1560721.0,899235.0,69767.0,61650.0,32726.0
620,"Sacramento-Roseville-Folsom, CA MSA",2019,1575602.0,913019.0,72290.0,64291.0,33915.0
621,"Sacramento-Roseville-Folsom, CA MSA",2020,1586465.0,894864.0,76097.0,69760.0,34281.0
622,"Sacramento-Roseville-Folsom, CA MSA",2021,1588106.0,923658.0,78972.0,73021.0,36586.0
623,"Sacramento-Roseville-Folsom, CA MSA",2022,1584169.0,971204.0,79777.0,75818.0,38435.0
624,"Salt Lake City, UT MSA",2007,1453293.0,1023350.0,40567.0,37977.5,23147.0
625,"Salt Lake City, UT MSA",2008,1487168.0,1029779.0,40969.5,39154.0,22985.5
626,"Salt Lake City, UT MSA",2009,1521596.0,996932.0,40183.0,39747.5,21279.0
627,"Salt Lake City, UT MSA",2010,1553723.0,990670.0,40886.5,40514.0,21076.0
628,"Salt Lake City, UT MSA",2011,1582070.0,1019234.0,42253.0,41588.5,22322.0
629,"Salt Lake City, UT MSA",2012,1610556.0,1049614.0,44688.5,42984.0,23870.5
630,"Salt Lake City, UT MSA",2013,1640806.0,1084047.0,46114.0,43512.5,24484.0
631,"Salt Lake City, UT MSA",2014,1664037.0,1114832.0,47489.5,44610.5,25680.5
632,"Salt Lake City, UT MSA",2015,1691684.0,1157607.0,49564.0,46308.0,27363.5
633,"Salt Lake City, UT MSA",2016,1730939.0,1204842.0,50718.0,47315.5,28507.5
634,"Salt Lake City, UT MSA",2017,1767470.0,1243342.0,52061.5,48690.0,29608.5
635,"Salt Lake City, UT MSA",2018,1797155.0,1291652.0,53951.5,51046.0,31282.5
636,"Salt Lake City, UT MSA",2019,1824002.0,1313103.0,57719.5,53971.5,33378.0
637,"Salt Lake City, UT MSA",2020,1850480.0,1330004.0,60948.5,58194.5,35349.5
638,"Salt Lake City, UT MSA",2021,1872246.0,1401268.0,62957.5,61519.0,38011.5
639,"Salt Lake City, UT MSA",2022,1888691.0,1479899.0,64789.0,64773.0,40802.0
640,"San Antonio-New Braunfels, TX MSA",2007,1615210.0,973426.0,45796.0,39901.0,22743.0
641,"San Antonio-New Braunfels, TX MSA",2008,1651709.0,993098.0,47158.0,40530.0,23549.0
642,"San Antonio-New Braunfels, TX MSA",2009,1685628.0,985188.0,46411.0,41346.0,22174.0
643,"San Antonio-New Braunfels, TX MSA",2010,1722589.0,993241.0,48346.0,42561.0,22673.0
644,"San Antonio-New Braunfels, TX MSA",2011,1754060.0,1012852.0,50299.0,44158.0,23894.0
645,"San Antonio-New Braunfels, TX MSA",2012,1786364.0,1037005.0,51191.0,44922.0,24434.0
646,"San Antonio-New Braunfels, TX MSA",2013,1817813.0,1062491.0,52903.0,45295.0,25148.0
647,"San Antonio-New Braunfels, TX MSA",2014,1853228.0,1092747.0,55747.0,46755.0,27003.0
648,"San Antonio-New Braunfels, TX MSA",2015,1888800.0,1126966.0,55189.0,48276.0,26785.0
649,"San Antonio-New Braunfels, TX MSA",2016,1920089.0,1169075.0,55281.0,49068.0,27036.0
650,"San Antonio-New Braunfels, TX MSA",2017,1947735.0,1202355.0,56896.0,50469.0,28265.0
651,"San Antonio-New Braunfels, TX MSA",2018,1971056.0,1232847.0,58934.0,52009.0,29970.0
652,"San Antonio-New Braunfels, TX MSA",2019,1991044.0,1248122.0,58144.0,53862.0,29352.0
653,"San Antonio-New Braunfels, TX MSA",2020,2015369.0,1219062.0,58899.0,57673.0,28210.0
654,"San Antonio-New Braunfels, TX MSA",2021,2030895.0,1266473.0,60620.0,60388.0,29804.0
655,"San Antonio-New Braunfels, TX MSA",2022,2059530.0,1334028.0,62293.0,62835.0,31486.0
656,"San Diego-Chula Vista-Carlsbad, CA MSA",2007,2975742.0,1890299.0,54298.0,48703.0,30326.0
657,"San Diego-Chula Vista-Carlsbad, CA MSA",2008,3022116.0,1882613.0,54369.0,50388.0,29537.0
658,"San Diego-Chula Vista-Carlsbad, CA MSA",2009,3061203.0,1821920.0,54276.0,50801.0,28077.0
659,"San Diego-Chula Vista-Carlsbad, CA MSA",2010,3102436.0,1804100.0,56525.0,52394.0,28623.0
660,"San Diego-Chula Vista-Carlsbad, CA MSA",2011,3133069.0,1828219.0,58142.0,54142.0,29893.0
661,"San Diego-Chula Vista-Carlsbad, CA MSA",2012,3167554.0,1877275.0,59563.0,55277.0,31169.0
662,"San Diego-Chula Vista-Carlsbad, CA MSA",2013,3199707.0,1920848.0,60844.0,55932.0,31901.0
663,"San Diego-Chula Vista-Carlsbad, CA MSA",2014,3234658.0,1973022.0,62111.0,57482.0,33113.0
664,"San Diego-Chula Vista-Carlsbad, CA MSA",2015,3262566.0,2029948.0,63580.0,59072.0,34626.0
665,"San Diego-Chula Vista-Carlsbad, CA MSA",2016,3283586.0,2083422.0,64301.0,59262.0,35718.0
666,"San Diego-Chula Vista-Carlsbad, CA MSA",2017,3293575.0,2118892.0,65964.0,61015.0,37161.0
667,"San Diego-Chula Vista-Carlsbad, CA MSA",2018,3303463.0,2148460.0,67592.0,63051.0,38460.0
668,"San Diego-Chula Vista-Carlsbad, CA MSA",2019,3297959.0,2158023.0,69975.0,65308.0,40047.0
669,"San Diego-Chula Vista-Carlsbad, CA MSA",2020,3296045.0,2053902.0,75075.0,72604.0,40917.0
670,"San Diego-Chula Vista-Carlsbad, CA MSA",2021,3274954.0,2136842.0,78358.0,76833.0,44678.0
671,"San Diego-Chula Vista-Carlsbad, CA MSA",2022,3276208.0,2270595.0,78488.0,78272.0,47321.0
672,"San Francisco-Oakland-Berkeley, CA MSA",2007,2613219.0,1904710.0,65109.0,59260.75,42091.5
673,"San Francisco-Oakland-Berkeley, CA MSA",2008,2650851.0,1911662.0,64946.25,60147.0,41372.75
674,"San Francisco-Oakland-Berkeley, CA MSA",2009,2686603.0,1842185.0,65462.25,59753.0,40032.75
675,"San Francisco-Oakland-Berkeley, CA MSA",2010,2708761.0,1830718.0,68819.25,61211.0,41789.5
676,"San Francisco-Oakland-Berkeley, CA MSA",2011,2742616.0,1865891.0,70083.5,63206.0,43818.25
677,"San Francisco-Oakland-Berkeley, CA MSA",2012,2782728.0,1956941.0,71965.0,64136.25,46847.5
678,"San Francisco-Oakland-Berkeley, CA MSA",2013,2825148.0,2031852.0,73060.25,64798.0,48297.0
679,"San Francisco-Oakland-Berkeley, CA MSA",2014,2869890.0,2115093.0,75807.25,67667.5,51563.25
680,"San Francisco-Oakland-Berkeley, CA MSA",2015,2912572.0,2207271.0,79174.25,71222.0,55387.75
681,"San Francisco-Oakland-Berkeley, CA MSA",2016,2939556.0,2271834.0,82805.25,73820.5,58260.75
682,"San Francisco-Oakland-Berkeley, CA MSA",2017,2955677.0,2315679.0,85714.75,77394.75,61190.0
683,"San Francisco-Oakland-Berkeley, CA MSA",2018,2966231.0,2370481.0,88672.25,81822.75,64580.25
684,"San Francisco-Oakland-Berkeley, CA MSA",2019,2967821.0,2370201.0,94324.5,86562.5,67666.5
685,"San Francisco-Oakland-Berkeley, CA MSA",2020,2949540.0,2199753.0,103903.0,97927.5,70651.0
686,"San Francisco-Oakland-Berkeley, CA MSA",2021,2850458.0,2243483.0,114232.25,108956.5,82135.75
687,"San Francisco-Oakland-Berkeley, CA MSA",2022,2827752.0,2381913.0,108571.25,104202.75,81689.75
688,"San Jose-Sunnyvale-Santa Clara, CA MSA",2007,1712026.0,1160114.0,85879.0,83518.0,44521.0
689,"San Jose-Sunnyvale-Santa Clara, CA MSA",2008,1740964.0,1164619.0,84901.0,81944.0,43373.0
690,"San Jose-Sunnyvale-Santa Clara, CA MSA",2009,1765137.0,1109821.0,84497.0,81612.0,40890.0
691,"San Jose-Sunnyvale-Santa Clara, CA MSA",2010,1786519.0,1106203.0,92765.0,90440.0,44263.0
692,"San Jose-Sunnyvale-Santa Clara, CA MSA",2011,1814528.0,1139453.0,98052.0,95846.0,47595.0
693,"San Jose-Sunnyvale-Santa Clara, CA MSA",2012,1842432.0,1185174.0,99019.0,96649.0,52070.0
694,"San Jose-Sunnyvale-Santa Clara, CA MSA",2013,1873133.0,1232448.0,101089.0,98867.0,52208.0
695,"San Jose-Sunnyvale-Santa Clara, CA MSA",2014,1900682.0,1276844.0,106929.0,105277.0,55440.0
696,"San Jose-Sunnyvale-Santa Clara, CA MSA",2015,1927498.0,1335439.0,113898.0,113310.0,60327.0
697,"San Jose-Sunnyvale-Santa Clara, CA MSA",2016,1942263.0,1370271.0,118150.0,117726.0,65293.0
698,"San Jose-Sunnyvale-Santa Clara, CA MSA",2017,1948685.0,1400312.0,126050.0,125025.0,71120.0
699,"San Jose-Sunnyvale-Santa Clara, CA MSA",2018,1950712.0,1434564.0,135042.0,133599.0,78235.0
700,"San Jose-Sunnyvale-Santa Clara, CA MSA",2019,1943313.0,1441718.0,140673.0,137279.0,82036.0
701,"San Jose-Sunnyvale-Santa Clara, CA MSA",2020,1931026.0,1374788.0,159736.0,160708.0,89748.0
702,"San Jose-Sunnyvale-Santa Clara, CA MSA",2021,1886595.0,1407599.0,179841.0,183436.0,106448.0
703,"San Jose-Sunnyvale-Santa Clara, CA MSA",2022,1870945.0,1495511.0,166261.0,169868.0,106017.0
704,"Seattle-Tacoma-Bellevue, WA MSA",2007,3304467.0,2252497.0,54322.333333333336,48443.666666666664,31944.666666666668
705,"Seattle-Tacoma-Bellevue, WA MSA",2008,3355042.0,2272359.0,55261.0,49550.666666666664,32175.333333333332
706,"Seattle-Tacoma-Bellevue, WA MSA",2009,3414797.0,2182609.0,54774.666666666664,50574.666666666664,29739.666666666668
707,"Seattle-Tacoma-Bellevue, WA MSA",2010,3449507.0,2154729.0,56738.666666666664,51788.333333333336,29875.0
708,"Seattle-Tacoma-Bellevue, WA MSA",2011,3505162.0,2190282.0,58823.0,53692.0,31515.666666666668
709,"Seattle-Tacoma-Bellevue, WA MSA",2012,3561158.0,2258685.0,61240.333333333336,54921.333333333336,33461.666666666664
710,"Seattle-Tacoma-Bellevue, WA MSA",2013,3615685.0,2313185.0,63006.333333333336,55837.0,34379.0
711,"Seattle-Tacoma-Bellevue, WA MSA",2014,3679543.0,2380273.0,64717.0,57817.333333333336,35854.666666666664
712,"Seattle-Tacoma-Bellevue, WA MSA",2015,3745182.0,2454123.0,66065.0,59191.0,37163.666666666664
713,"Seattle-Tacoma-Bellevue, WA MSA",2016,3824014.0,2526949.0,67672.33333333333,61023.333333333336,38667.666666666664
714,"Seattle-Tacoma-Bellevue, WA MSA",2017,3893869.0,2602538.0,69859.66666666667,63517.0,40675.0
715,"Seattle-Tacoma-Bellevue, WA MSA",2018,3943414.0,2667012.0,73681.0,67183.0,43635.333333333336
716,"Seattle-Tacoma-Bellevue, WA MSA",2019,3984400.0,2701937.0,77274.0,70206.66666666667,46143.0
717,"Seattle-Tacoma-Bellevue, WA MSA",2020,4027487.0,2598455.0,82440.0,76449.33333333333,47369.333333333336
718,"Seattle-Tacoma-Bellevue, WA MSA",2021,4016274.0,2666250.0,87075.66666666667,81667.66666666667,52019.0
719,"Seattle-Tacoma-Bellevue, WA MSA",2022,4034248.0,2818702.0,88296.0,84071.33333333333,55056.666666666664
720,"St. Louis, MO-IL MSA",2007,1317348.0,1063700.0,55718.0,48955.0,25794.5
721,"St. Louis, MO-IL MSA",2008,1316286.0,1064320.0,61073.5,53890.5,27382.5
722,"St. Louis, MO-IL MSA",2009,1317460.0,1027470.0,58749.5,50364.5,26823.0
723,"St. Louis, MO-IL MSA",2010,1318519.0,1012186.0,60410.0,51542.0,27460.5
724,"St. Louis, MO-IL MSA",2011,1321100.0,1020898.0,61515.0,52948.5,28661.0
725,"St. Louis, MO-IL MSA",2012,1323261.0,1025007.0,63179.0,54392.5,29620.5
726,"St. Louis, MO-IL MSA",2013,1323317.0,1036678.0,63747.5,54410.0,29996.5
727,"St. Louis, MO-IL MSA",2014,1323632.0,1047406.0,64014.0,56118.0,29928.0
728,"St. Louis, MO-IL MSA",2015,1324143.0,1064771.0,65314.5,57575.0,30921.0
729,"St. Louis, MO-IL MSA",2016,1318731.0,1075655.0,65899.5,57907.5,31862.5
730,"St. Louis, MO-IL MSA",2017,1314067.0,1086001.0,67231.5,59289.0,32981.5
731,"St. Louis, MO-IL MSA",2018,1309171.0,1099966.0,68812.5,61767.5,34066.5
732,"St. Louis, MO-IL MSA",2019,1307052.0,1097176.0,71781.5,63352.5,35821.0
733,"St. Louis, MO-IL MSA",2020,1303539.0,1052434.0,75861.0,67593.0,36294.5
734,"St. Louis, MO-IL MSA",2021,1291789.0,1079192.0,78284.5,70688.0,38939.5
735,"St. Louis, MO-IL MSA",2022,1276992.0,1126105.0,80403.5,73480.5,41295.5
736,"Tampa-St Petersburg-Clearwater, FL MSA",2007,2103310.0,1400224.0,45440.0,41828.0,24666.5
737,"Tampa-St Petersburg-Clearwater, FL MSA",2008,2113231.0,1349538.0,46353.0,43394.0,24082.5
738,"Tampa-St Petersburg-Clearwater, FL MSA",2009,2129380.0,1285869.0,46926.5,44304.5,23045.5
739,"Tampa-St Petersburg-Clearwater, FL MSA",2010,2148847.0,1267593.0,48870.5,45206.0,23685.5
740,"Tampa-St Petersburg-Clearwater, FL MSA",2011,2168670.0,1284059.0,49467.5,46510.5,24453.0
741,"Tampa-St Petersburg-Clearwater, FL MSA",2012,2191588.0,1313819.0,50312.0,47845.5,25164.0
742,"Tampa-St Petersburg-Clearwater, FL MSA",2013,2218378.0,1351877.0,50159.5,48062.0,25082.0
743,"Tampa-St Petersburg-Clearwater, FL MSA",2014,2249874.0,1390272.0,50977.5,49198.0,25908.5
744,"Tampa-St Petersburg-Clearwater, FL MSA",2015,2287487.0,1440889.0,52106.5,50701.0,26969.0
745,"Tampa-St Petersburg-Clearwater, FL MSA",2016,2328490.0,1477234.0,52999.5,51818.0,27462.0
746,"Tampa-St Petersburg-Clearwater, FL MSA",2017,2362327.0,1528317.0,53332.0,53031.0,28242.0
747,"Tampa-St Petersburg-Clearwater, FL MSA",2018,2387760.0,1579173.0,54596.5,54848.0,29469.0
748,"Tampa-St Petersburg-Clearwater, FL MSA",2019,2405600.0,1611566.0,56746.5,56818.5,30787.5
749,"Tampa-St Petersburg-Clearwater, FL MSA",2020,2425625.0,1608401.0,58875.0,61192.5,31444.5
750,"Tampa-St Petersburg-Clearwater, FL MSA",2021,2443501.0,1688696.0,62318.5,65438.5,34691.5
751,"Tampa-St Petersburg-Clearwater, FL MSA",2022,2475040.0,1783573.0,64795.0,68518.5,37250.0
752,"Virginia Beach-Norfolk-Newport News, VA-NC MSA",2007,1332034.0,863318.0,46425.57142857143,40507.71428571428,26187.85714285714
753,"Virginia Beach-Norfolk-Newport News, VA-NC MSA",2008,1330792.0,855896.0,47124.42857142857,41473.71428571428,26423.14285714286
754,"Virginia Beach-Norfolk-Newport News, VA-NC MSA",2009,1334656.0,827000.0,48248.142857142855,42744.42857142857,25929.14285714286
755,"Virginia Beach-Norfolk-Newport News, VA-NC MSA",2010,1344293.0,818015.0,49581.71428571428,43596.142857142855,26176.285714285714
756,"Virginia Beach-Norfolk-Newport News, VA-NC MSA",2011,1350538.0,819164.0,49990.42857142857,44238.0,26765.285714285714
757,"Virginia Beach-Norfolk-Newport News, VA-NC MSA",2012,1361096.0,821487.0,51520.71428571428,45532.142857142855,27261.428571428572
758,"Virginia Beach-Norfolk-Newport News, VA-NC MSA",2013,1369183.0,828190.0,52268.857142857145,46464.28571428572,26914.0
759,"Virginia Beach-Norfolk-Newport News, VA-NC MSA",2014,1378349.0,834906.0,52704.0,47174.57142857143,27345.285714285714
760,"Virginia Beach-Norfolk-Newport News, VA-NC MSA",2015,1382692.0,849226.0,53762.142857142855,48415.28571428572,28243.85714285714
761,"Virginia Beach-Norfolk-Newport News, VA-NC MSA",2016,1386906.0,871660.0,53479.28571428572,48496.28571428572,28617.0
762,"Virginia Beach-Norfolk-Newport News, VA-NC MSA",2017,1388974.0,882035.0,54334.857142857145,49957.0,29116.714285714286
763,"Virginia Beach-Norfolk-Newport News, VA-NC MSA",2018,1392580.0,874704.0,54606.71428571428,51024.28571428572,29039.714285714286
764,"Virginia Beach-Norfolk-Newport News, VA-NC MSA",2019,1399015.0,872573.0,56209.42857142857,52430.42857142857,29854.14285714286
765,"Virginia Beach-Norfolk-Newport News, VA-NC MSA",2020,1403895.0,859054.0,59180.28571428572,56855.28571428572,30212.428571428572
766,"Virginia Beach-Norfolk-Newport News, VA-NC MSA",2021,1403776.0,886031.0,61510.42857142857,59261.857142857145,32347.571428571428
767,"Virginia Beach-Norfolk-Newport News, VA-NC MSA",2022,1402132.0,913984.0,62728.57142857143,61456.857142857145,34101.42857142857
768,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",2007,1174042.0,1290337.0,74253.5,66170.75,49153.0
769,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",2008,1202060.0,1306984.0,76236.5,68141.5,50512.0
770,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",2009,1236049.0,1308103.0,78105.0,69391.25,50115.75
771,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",2010,1270322.0,1326926.0,83266.25,72060.0,53559.0
772,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",2011,1304416.0,1354276.0,83954.5,72783.0,55685.25
773,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",2012,1337878.0,1365060.0,84351.75,73560.25,56377.25
774,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",2013,1369420.0,1387930.0,82920.5,74046.25,54037.5
775,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",2014,1394412.0,1408166.0,84513.5,75883.75,55924.75
776,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",2015,1422183.0,1442247.0,86091.25,77835.5,57793.75
777,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",2016,1447567.0,1476672.0,86929.25,78886.5,58863.0
778,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",2017,1471579.0,1501091.0,88303.0,81330.5,60149.25
779,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",2018,1486036.0,1524121.0,91120.5,84751.5,62675.75
780,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",2019,1499021.0,1535453.0,93425.25,86451.25,63774.75
781,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",2020,1491461.0,1471123.0,98979.25,93441.5,64841.25
782,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",2021,1486003.0,1489799.0,103436.5,97194.5,71346.0
783,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",2022,1493413.0,1548410.0,105721.75,101066.75,73789.0
