MSA,Year,nSNAP
"Atlanta-Sandy Springs-Alpharetta, GA MSA",2007,2305827
"Atlanta-Sandy Springs-Alpharetta, GA MSA",2008,2715951
"Atlanta-Sandy Springs-Alpharetta, GA MSA",2009,3377151
"Atlanta-Sandy Springs-Alpharetta, GA MSA",2010,3855078
"Atlanta-Sandy Springs-Alpharetta, GA MSA",2011,4221267
"Atlanta-Sandy Springs-Alpharetta, GA MSA",2012,4376325
"Atlanta-Sandy Springs-Alpharetta, GA MSA",2013,4002078
"Atlanta-Sandy Springs-Alpharetta, GA MSA",2014,4160640
"Atlanta-Sandy Springs-Alpharetta, GA MSA",2015,4003773
"Atlanta-Sandy Springs-Alpharetta, GA MSA",2016,3778881
"Atlanta-Sandy Springs-Alpharetta, GA MSA",2017,3885789
"Atlanta-Sandy Springs-Alpharetta, GA MSA",2018,3357342
"Atlanta-Sandy Springs-Alpharetta, GA MSA",2019,3370614
"Atlanta-Sandy Springs-Alpharetta, GA MSA",2020,4027725
"Austin-Round Rock-Georgetown, TX MSA",2007,1139895
"Austin-Round Rock-Georgetown, TX MSA",2008,1426890
"Austin-Round Rock-Georgetown, TX MSA",2009,1786965
"Austin-Round Rock-Georgetown, TX MSA",2010,2035020
"Austin-Round Rock-Georgetown, TX MSA",2011,2081760
"Austin-Round Rock-Georgetown, TX MSA",2012,2002980
"Austin-Round Rock-Georgetown, TX MSA",2013,1865100
"Austin-Round Rock-Georgetown, TX MSA",2014,1734525
"Austin-Round Rock-Georgetown, TX MSA",2015,1647825
"Austin-Round Rock-Georgetown, TX MSA",2016,1576545
"Austin-Round Rock-Georgetown, TX MSA",2017,1521960
"Austin-Round Rock-Georgetown, TX MSA",2018,1386375
"Austin-Round Rock-Georgetown, TX MSA",2019,1363215
"Austin-Round Rock-Georgetown, TX MSA",2020,1395255
"Baltimore-Columbia-Towson, MD MSA",2007,2382915
"Baltimore-Columbia-Towson, MD MSA",2008,2918745
"Baltimore-Columbia-Towson, MD MSA",2009,3648015
"Baltimore-Columbia-Towson, MD MSA",2010,4291110
"Baltimore-Columbia-Towson, MD MSA",2011,4577040
"Baltimore-Columbia-Towson, MD MSA",2012,4775580
"Baltimore-Columbia-Towson, MD MSA",2013,4891545
"Baltimore-Columbia-Towson, MD MSA",2014,4758090
"Baltimore-Columbia-Towson, MD MSA",2015,4558050
"Baltimore-Columbia-Towson, MD MSA",2016,4182075
"Baltimore-Columbia-Towson, MD MSA",2017,3904755
"Baltimore-Columbia-Towson, MD MSA",2018,3728295
"Baltimore-Columbia-Towson, MD MSA",2019,3809970
"Baltimore-Columbia-Towson, MD MSA",2020,4942155
"Birmingham-Hoover, AL MSA",2007,1308285
"Birmingham-Hoover, AL MSA",2008,1504815
"Birmingham-Hoover, AL MSA",2009,1864620
"Birmingham-Hoover, AL MSA",2010,2094750
"Birmingham-Hoover, AL MSA",2011,2228835
"Birmingham-Hoover, AL MSA",2012,2295330
"Birmingham-Hoover, AL MSA",2013,2293515
"Birmingham-Hoover, AL MSA",2014,2276250
"Birmingham-Hoover, AL MSA",2015,2172735
"Birmingham-Hoover, AL MSA",2016,2049390
"Birmingham-Hoover, AL MSA",2017,1967370
"Birmingham-Hoover, AL MSA",2018,1866285
"Birmingham-Hoover, AL MSA",2019,1848120
"Birmingham-Hoover, AL MSA",2020,1980705
"Boston-Cambridge-Newton, MA-NH MSA",2007,1407420
"Boston-Cambridge-Newton, MA-NH MSA",2008,1665015
"Boston-Cambridge-Newton, MA-NH MSA",2009,1992015
"Boston-Cambridge-Newton, MA-NH MSA",2010,2166795
"Boston-Cambridge-Newton, MA-NH MSA",2011,2284470
"Boston-Cambridge-Newton, MA-NH MSA",2012,2351835
"Boston-Cambridge-Newton, MA-NH MSA",2013,2317035
"Boston-Cambridge-Newton, MA-NH MSA",2014,2107785
"Boston-Cambridge-Newton, MA-NH MSA",2015,2157840
"Boston-Cambridge-Newton, MA-NH MSA",2016,2021160
"Boston-Cambridge-Newton, MA-NH MSA",2017,1993110
"Boston-Cambridge-Newton, MA-NH MSA",2018,1934505
"Boston-Cambridge-Newton, MA-NH MSA",2019,2025825
"Boston-Cambridge-Newton, MA-NH MSA",2020,2309835
"Buffalo-Cheektowaga, NY MSA",2007,1988580
"Buffalo-Cheektowaga, NY MSA",2008,2219205
"Buffalo-Cheektowaga, NY MSA",2009,2543685
"Buffalo-Cheektowaga, NY MSA",2010,2763015
"Buffalo-Cheektowaga, NY MSA",2011,2841675
"Buffalo-Cheektowaga, NY MSA",2012,2978070
"Buffalo-Cheektowaga, NY MSA",2013,3028275
"Buffalo-Cheektowaga, NY MSA",2014,3096045
"Buffalo-Cheektowaga, NY MSA",2015,3044805
"Buffalo-Cheektowaga, NY MSA",2016,2937600
"Buffalo-Cheektowaga, NY MSA",2017,2867040
"Buffalo-Cheektowaga, NY MSA",2018,2762250
"Buffalo-Cheektowaga, NY MSA",2019,2712990
"Buffalo-Cheektowaga, NY MSA",2020,2761020
"Charlotte-Concord-Gastonia, NC-SC MSA",2007,1937745
"Charlotte-Concord-Gastonia, NC-SC MSA",2008,2243040
"Charlotte-Concord-Gastonia, NC-SC MSA",2009,2862945
"Charlotte-Concord-Gastonia, NC-SC MSA",2010,3342015
"Charlotte-Concord-Gastonia, NC-SC MSA",2011,3595170
"Charlotte-Concord-Gastonia, NC-SC MSA",2012,3625620
"Charlotte-Concord-Gastonia, NC-SC MSA",2013,3483495
"Charlotte-Concord-Gastonia, NC-SC MSA",2014,3599490
"Charlotte-Concord-Gastonia, NC-SC MSA",2015,3475140
"Charlotte-Concord-Gastonia, NC-SC MSA",2016,3027345
"Charlotte-Concord-Gastonia, NC-SC MSA",2017,2957100
"Charlotte-Concord-Gastonia, NC-SC MSA",2018,2650635
"Charlotte-Concord-Gastonia, NC-SC MSA",2019,2577180
"Charlotte-Concord-Gastonia, NC-SC MSA",2020,3131325
"Chicago-Naperville-Elgin, IL-IN-WI MSA",2007,12150930
"Chicago-Naperville-Elgin, IL-IN-WI MSA",2008,13419300
"Chicago-Naperville-Elgin, IL-IN-WI MSA",2009,15439380
"Chicago-Naperville-Elgin, IL-IN-WI MSA",2010,17068170
"Chicago-Naperville-Elgin, IL-IN-WI MSA",2011,17881170
"Chicago-Naperville-Elgin, IL-IN-WI MSA",2012,19695780
"Chicago-Naperville-Elgin, IL-IN-WI MSA",2013,19692750
"Chicago-Naperville-Elgin, IL-IN-WI MSA",2014,19892460
"Chicago-Naperville-Elgin, IL-IN-WI MSA",2015,18768735
"Chicago-Naperville-Elgin, IL-IN-WI MSA",2016,18159090
"Chicago-Naperville-Elgin, IL-IN-WI MSA",2017,17539950
"Chicago-Naperville-Elgin, IL-IN-WI MSA",2018,16617720
"Chicago-Naperville-Elgin, IL-IN-WI MSA",2019,16936860
"Chicago-Naperville-Elgin, IL-IN-WI MSA",2020,18504840
"Cincinnati, OH-KY-IN MSA",2007,1155075
"Cincinnati, OH-KY-IN MSA",2008,1296135
"Cincinnati, OH-KY-IN MSA",2009,1609350
"Cincinnati, OH-KY-IN MSA",2010,1953825
"Cincinnati, OH-KY-IN MSA",2011,1943205
"Cincinnati, OH-KY-IN MSA",2012,1991610
"Cincinnati, OH-KY-IN MSA",2013,1981410
"Cincinnati, OH-KY-IN MSA",2014,1870110
"Cincinnati, OH-KY-IN MSA",2015,1857990
"Cincinnati, OH-KY-IN MSA",2016,1741485
"Cincinnati, OH-KY-IN MSA",2017,1615725
"Cincinnati, OH-KY-IN MSA",2018,1494030
"Cincinnati, OH-KY-IN MSA",2019,1464540
"Cincinnati, OH-KY-IN MSA",2020,1754565
"Cleveland-Elyria, OH MSA",2007,2795220
"Cleveland-Elyria, OH MSA",2008,3054615
"Cleveland-Elyria, OH MSA",2009,3505980
"Cleveland-Elyria, OH MSA",2010,3872865
"Cleveland-Elyria, OH MSA",2011,4043505
"Cleveland-Elyria, OH MSA",2012,3996780
"Cleveland-Elyria, OH MSA",2013,3997155
"Cleveland-Elyria, OH MSA",2014,3862560
"Cleveland-Elyria, OH MSA",2015,3788625
"Cleveland-Elyria, OH MSA",2016,3649050
"Cleveland-Elyria, OH MSA",2017,3210720
"Cleveland-Elyria, OH MSA",2018,3385425
"Cleveland-Elyria, OH MSA",2019,3119400
"Cleveland-Elyria, OH MSA",2020,3242370
"Columbus, OH MSA",2007,1963590
"Columbus, OH MSA",2008,2277090
"Columbus, OH MSA",2009,2654790
"Columbus, OH MSA",2010,2954160
"Columbus, OH MSA",2011,3051060
"Columbus, OH MSA",2012,3330105
"Columbus, OH MSA",2013,3169755
"Columbus, OH MSA",2014,3031860
"Columbus, OH MSA",2015,2911335
"Columbus, OH MSA",2016,2738955
"Columbus, OH MSA",2017,2509410
"Columbus, OH MSA",2018,2337885
"Columbus, OH MSA",2019,2322810
"Columbus, OH MSA",2020,2567835
"Dallas-Fort Worth-Arlington, TX MSA",2007,5374020
"Dallas-Fort Worth-Arlington, TX MSA",2008,6575910
"Dallas-Fort Worth-Arlington, TX MSA",2009,7928910
"Dallas-Fort Worth-Arlington, TX MSA",2010,9938475
"Dallas-Fort Worth-Arlington, TX MSA",2011,10806750
"Dallas-Fort Worth-Arlington, TX MSA",2012,11108400
"Dallas-Fort Worth-Arlington, TX MSA",2013,10761930
"Dallas-Fort Worth-Arlington, TX MSA",2014,10364550
"Dallas-Fort Worth-Arlington, TX MSA",2015,10261950
"Dallas-Fort Worth-Arlington, TX MSA",2016,9999900
"Dallas-Fort Worth-Arlington, TX MSA",2017,9695670
"Dallas-Fort Worth-Arlington, TX MSA",2018,8930910
"Dallas-Fort Worth-Arlington, TX MSA",2019,8868120
"Dallas-Fort Worth-Arlington, TX MSA",2020,9167235
"Denver-Aurora-Lakewood, CO MSA",2007,1781355
"Denver-Aurora-Lakewood, CO MSA",2008,2135520
"Denver-Aurora-Lakewood, CO MSA",2009,2853240
"Denver-Aurora-Lakewood, CO MSA",2010,3323220
"Denver-Aurora-Lakewood, CO MSA",2011,3702975
"Denver-Aurora-Lakewood, CO MSA",2012,3867615
"Denver-Aurora-Lakewood, CO MSA",2013,3859755
"Denver-Aurora-Lakewood, CO MSA",2014,3786510
"Denver-Aurora-Lakewood, CO MSA",2015,3554520
"Denver-Aurora-Lakewood, CO MSA",2016,3390015
"Denver-Aurora-Lakewood, CO MSA",2017,3214425
"Denver-Aurora-Lakewood, CO MSA",2018,3245970
"Denver-Aurora-Lakewood, CO MSA",2019,3290955
"Denver-Aurora-Lakewood, CO MSA",2020,3626370
"Detroit-Warren-Dearborn, MI MSA",2007,7645155
"Detroit-Warren-Dearborn, MI MSA",2008,8398965
"Detroit-Warren-Dearborn, MI MSA",2009,10223790
"Detroit-Warren-Dearborn, MI MSA",2010,11908890
"Detroit-Warren-Dearborn, MI MSA",2011,11785140
"Detroit-Warren-Dearborn, MI MSA",2012,11634330
"Detroit-Warren-Dearborn, MI MSA",2013,11178825
"Detroit-Warren-Dearborn, MI MSA",2014,10699095
"Detroit-Warren-Dearborn, MI MSA",2015,10185870
"Detroit-Warren-Dearborn, MI MSA",2016,9639795
"Detroit-Warren-Dearborn, MI MSA",2017,9060000
"Detroit-Warren-Dearborn, MI MSA",2018,8400270
"Detroit-Warren-Dearborn, MI MSA",2019,8713740
"Detroit-Warren-Dearborn, MI MSA",2020,8891580
"Fresno, CA MSA",2007,2247180
"Fresno, CA MSA",2008,2609235
"Fresno, CA MSA",2009,3111630
"Fresno, CA MSA",2010,3432645
"Fresno, CA MSA",2011,3591015
"Fresno, CA MSA",2012,3692820
"Fresno, CA MSA",2013,3749865
"Fresno, CA MSA",2014,3843870
"Fresno, CA MSA",2015,3812475
"Fresno, CA MSA",2016,3617400
"Fresno, CA MSA",2017,3429840
"Fresno, CA MSA",2018,3451275
"Fresno, CA MSA",2019,3742650
"Fresno, CA MSA",2020,3918720
"Houston-The Woodlands-Sugar Land, TX MSA",2007,668925
"Houston-The Woodlands-Sugar Land, TX MSA",2008,838350
"Houston-The Woodlands-Sugar Land, TX MSA",2009,945765
"Houston-The Woodlands-Sugar Land, TX MSA",2010,1166430
"Houston-The Woodlands-Sugar Land, TX MSA",2011,1299660
"Houston-The Woodlands-Sugar Land, TX MSA",2012,1360515
"Houston-The Woodlands-Sugar Land, TX MSA",2013,1330200
"Houston-The Woodlands-Sugar Land, TX MSA",2014,1308915
"Houston-The Woodlands-Sugar Land, TX MSA",2015,1330560
"Houston-The Woodlands-Sugar Land, TX MSA",2016,1437570
"Houston-The Woodlands-Sugar Land, TX MSA",2017,1446405
"Houston-The Woodlands-Sugar Land, TX MSA",2018,1372950
"Houston-The Woodlands-Sugar Land, TX MSA",2019,1361805
"Houston-The Woodlands-Sugar Land, TX MSA",2020,1607490
"Indianapolis-Carmel-Anderson, IN MSA",2007,1784745
"Indianapolis-Carmel-Anderson, IN MSA",2008,2064630
"Indianapolis-Carmel-Anderson, IN MSA",2009,2446920
"Indianapolis-Carmel-Anderson, IN MSA",2010,2655405
"Indianapolis-Carmel-Anderson, IN MSA",2011,2781660
"Indianapolis-Carmel-Anderson, IN MSA",2012,3008505
"Indianapolis-Carmel-Anderson, IN MSA",2013,3021555
"Indianapolis-Carmel-Anderson, IN MSA",2014,2896890
"Indianapolis-Carmel-Anderson, IN MSA",2015,2612460
"Indianapolis-Carmel-Anderson, IN MSA",2016,2290350
"Indianapolis-Carmel-Anderson, IN MSA",2017,2124660
"Indianapolis-Carmel-Anderson, IN MSA",2018,1996230
"Indianapolis-Carmel-Anderson, IN MSA",2019,1964355
"Indianapolis-Carmel-Anderson, IN MSA",2020,2298420
"Jacksonville, FL MSA",2007,1352130
"Jacksonville, FL MSA",2008,1725405
"Jacksonville, FL MSA",2009,2396280
"Jacksonville, FL MSA",2010,2890470
"Jacksonville, FL MSA",2011,3126225
"Jacksonville, FL MSA",2012,3238680
"Jacksonville, FL MSA",2013,3332820
"Jacksonville, FL MSA",2014,3487020
"Jacksonville, FL MSA",2015,3360765
"Jacksonville, FL MSA",2016,2991045
"Jacksonville, FL MSA",2017,2889165
"Jacksonville, FL MSA",2018,2744850
"Jacksonville, FL MSA",2019,2853300
"Jacksonville, FL MSA",2020,3298725
"Kansas City, MO-KS MSA",2007,165465
"Kansas City, MO-KS MSA",2008,200700
"Kansas City, MO-KS MSA",2009,267015
"Kansas City, MO-KS MSA",2010,318735
"Kansas City, MO-KS MSA",2011,342150
"Kansas City, MO-KS MSA",2012,349455
"Kansas City, MO-KS MSA",2013,324090
"Kansas City, MO-KS MSA",2014,298890
"Kansas City, MO-KS MSA",2015,267825
"Kansas City, MO-KS MSA",2016,237390
"Kansas City, MO-KS MSA",2017,212580
"Kansas City, MO-KS MSA",2018,195900
"Kansas City, MO-KS MSA",2019,190650
"Kansas City, MO-KS MSA",2020,195495
"Las Vegas-Henderson-Paradise, NV MSA",2007,1565415
"Las Vegas-Henderson-Paradise, NV MSA",2008,2044185
"Las Vegas-Henderson-Paradise, NV MSA",2009,2961900
"Las Vegas-Henderson-Paradise, NV MSA",2010,3635130
"Las Vegas-Henderson-Paradise, NV MSA",2011,4009935
"Las Vegas-Henderson-Paradise, NV MSA",2012,4113840
"Las Vegas-Henderson-Paradise, NV MSA",2013,4331565
"Las Vegas-Henderson-Paradise, NV MSA",2014,4741545
"Las Vegas-Henderson-Paradise, NV MSA",2015,5124840
"Las Vegas-Henderson-Paradise, NV MSA",2016,5220045
"Las Vegas-Henderson-Paradise, NV MSA",2017,5280390
"Las Vegas-Henderson-Paradise, NV MSA",2018,5161650
"Las Vegas-Henderson-Paradise, NV MSA",2019,5284290
"Las Vegas-Henderson-Paradise, NV MSA",2020,5596920
"Los Angeles-Long Beach-Anaheim, CA MSA",2007,11754975
"Los Angeles-Long Beach-Anaheim, CA MSA",2008,13328055
"Los Angeles-Long Beach-Anaheim, CA MSA",2009,16109640
"Los Angeles-Long Beach-Anaheim, CA MSA",2010,18511185
"Los Angeles-Long Beach-Anaheim, CA MSA",2011,20202480
"Los Angeles-Long Beach-Anaheim, CA MSA",2012,21403365
"Los Angeles-Long Beach-Anaheim, CA MSA",2013,22580655
"Los Angeles-Long Beach-Anaheim, CA MSA",2014,23304870
"Los Angeles-Long Beach-Anaheim, CA MSA",2015,22815060
"Los Angeles-Long Beach-Anaheim, CA MSA",2016,21285765
"Los Angeles-Long Beach-Anaheim, CA MSA",2017,20702355
"Los Angeles-Long Beach-Anaheim, CA MSA",2018,19956585
"Los Angeles-Long Beach-Anaheim, CA MSA",2019,22585590
"Los Angeles-Long Beach-Anaheim, CA MSA",2020,23648115
"Louisville/Jefferson County, KY-IN MSA",2007,1362630
"Louisville/Jefferson County, KY-IN MSA",2008,1505010
"Louisville/Jefferson County, KY-IN MSA",2009,1735755
"Louisville/Jefferson County, KY-IN MSA",2010,1912200
"Louisville/Jefferson County, KY-IN MSA",2011,1988430
"Louisville/Jefferson County, KY-IN MSA",2012,2096625
"Louisville/Jefferson County, KY-IN MSA",2013,2028720
"Louisville/Jefferson County, KY-IN MSA",2014,1929870
"Louisville/Jefferson County, KY-IN MSA",2015,1672320
"Louisville/Jefferson County, KY-IN MSA",2016,1443960
"Louisville/Jefferson County, KY-IN MSA",2017,1365105
"Louisville/Jefferson County, KY-IN MSA",2018,1219830
"Louisville/Jefferson County, KY-IN MSA",2019,1150620
"Louisville/Jefferson County, KY-IN MSA",2020,1474515
"Memphis, TN-MS-AR MSA",2007,2818215
"Memphis, TN-MS-AR MSA",2008,3159060
"Memphis, TN-MS-AR MSA",2009,3555270
"Memphis, TN-MS-AR MSA",2010,3791400
"Memphis, TN-MS-AR MSA",2011,3831210
"Memphis, TN-MS-AR MSA",2012,3993885
"Memphis, TN-MS-AR MSA",2013,3967065
"Memphis, TN-MS-AR MSA",2014,3790410
"Memphis, TN-MS-AR MSA",2015,3487650
"Memphis, TN-MS-AR MSA",2016,3342390
"Memphis, TN-MS-AR MSA",2017,3214665
"Memphis, TN-MS-AR MSA",2018,2896305
"Memphis, TN-MS-AR MSA",2019,2841495
"Memphis, TN-MS-AR MSA",2020,2937435
"Miami-Fort Lauderdale-Pompano Beach, FL MSA",2007,7167495
"Miami-Fort Lauderdale-Pompano Beach, FL MSA",2008,8791275
"Miami-Fort Lauderdale-Pompano Beach, FL MSA",2009,11508450
"Miami-Fort Lauderdale-Pompano Beach, FL MSA",2010,13953795
"Miami-Fort Lauderdale-Pompano Beach, FL MSA",2011,15470175
"Miami-Fort Lauderdale-Pompano Beach, FL MSA",2012,16738710
"Miami-Fort Lauderdale-Pompano Beach, FL MSA",2013,17016165
"Miami-Fort Lauderdale-Pompano Beach, FL MSA",2014,17594445
"Miami-Fort Lauderdale-Pompano Beach, FL MSA",2015,17357610
"Miami-Fort Lauderdale-Pompano Beach, FL MSA",2016,16259835
"Miami-Fort Lauderdale-Pompano Beach, FL MSA",2017,15440340
"Miami-Fort Lauderdale-Pompano Beach, FL MSA",2018,14306640
"Miami-Fort Lauderdale-Pompano Beach, FL MSA",2019,14337600
"Miami-Fort Lauderdale-Pompano Beach, FL MSA",2020,18239235
"Milwaukee-Waukesha, WI MSA",2007,2258070
"Milwaukee-Waukesha, WI MSA",2008,2598285
"Milwaukee-Waukesha, WI MSA",2009,3289470
"Milwaukee-Waukesha, WI MSA",2010,3715470
"Milwaukee-Waukesha, WI MSA",2011,3923295
"Milwaukee-Waukesha, WI MSA",2012,4262460
"Milwaukee-Waukesha, WI MSA",2013,4277865
"Milwaukee-Waukesha, WI MSA",2014,4225065
"Milwaukee-Waukesha, WI MSA",2015,3924975
"Milwaukee-Waukesha, WI MSA",2016,3637335
"Milwaukee-Waukesha, WI MSA",2017,3508275
"Milwaukee-Waukesha, WI MSA",2018,3391500
"Milwaukee-Waukesha, WI MSA",2019,3438645
"Milwaukee-Waukesha, WI MSA",2020,3990960
"Minneapolis-St Paul-Bloomington, MN-WI MSA",2007,1931175
"Minneapolis-St Paul-Bloomington, MN-WI MSA",2008,2107725
"Minneapolis-St Paul-Bloomington, MN-WI MSA",2009,2596140
